날짜,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개월),nino3.4 수온 평년평균,nino3.4 수온 표준편차
﻿1991년 11월,0.911624,1.040278,27.667915,27.717638,26.75629,1.177667
﻿1991년 10월,0.654084,0.623035,27.353033,27.33987,26.69895,1.01164
﻿1991년 09월,0.303397,0.527413,26.998665,27.270594,26.695267,0.834961
﻿1991년 08월,0.624758,0.471322,27.460087,27.396059,26.835327,0.818931
﻿1991년 07월,0.48581,0.505741,27.729427,27.753677,27.243618,0.677102
﻿1991년 06월,0.406655,0.385241,28.07152,27.968538,27.664865,0.627709
﻿1991년 05월,0.263259,0.25214,28.104668,28.011309,27.841408,0.614643
﻿1991년 04월,0.086505,0.089829,27.857742,27.687475,27.771236,0.657626
﻿1991년 03월,-0.080278,0.052311,27.100018,27.258766,27.180296,0.817327
﻿1991년 02월,0.150707,0.139541,26.818539,26.920452,26.667831,1.007264
﻿1991년 01월,0.348193,0.240904,26.8428,26.820663,26.494608,1.164648
﻿1990년 12월,0.223811,0.156152,26.800652,26.765398,26.576839,1.219633
﻿1990년 11월,-0.103549,0.10312,26.652742,26.780479,26.75629,1.177667
﻿1990년 10월,0.189098,0.016714,26.888046,26.733549,26.69895,1.01164
﻿1990년 09월,-0.035407,0.087229,26.659861,26.83041,26.695267,0.834961
﻿1990년 08월,0.107995,0.022338,26.943323,26.947077,26.835327,0.818931
﻿1990년 07월,-0.005574,-0.056243,27.238045,27.191694,27.243618,0.677102
﻿1990년 06월,-0.271149,-0.074827,27.393717,27.508471,27.664865,0.627709
﻿1990년 05월,0.052243,-0.093649,27.89365,27.665522,27.841408,0.614643
﻿1990년 04월,-0.062041,-0.062246,27.709196,27.5354,27.771236,0.657626
﻿1990년 03월,-0.176939,-0.073319,27.003357,27.133135,27.180296,0.817327
﻿1990년 02월,0.019022,-0.085469,26.686853,26.695442,26.667831,1.007264
﻿1990년 01월,-0.09849,-0.088772,26.396118,26.490988,26.494608,1.164648
﻿1989년 12월,-0.18685,-0.304237,26.38999,26.30501,26.576839,1.219633
